二月，李听袭海州，克东海、朐山、怀仁等县	二月，李听出兵袭击海州，攻克东海、朐山、怀仁等县
韩愈、李绅入谢，上各令自叙其事，乃深寤	韩愈、李绅上殿向穆宗感谢新任职务，穆宗令二人各自陈述争论的事情经过，方才明白其中的原因
壬辰，复以愈为吏部侍朗，绅为户部侍郎	壬辰，重新任命朝愈为吏部侍郎，李绅为户部侍郎
	四年
春，正月，辛亥朔，上始御含元殿朝会	春季，正月，辛亥朔，唐穆宗自即位以来，首次亲临在含元殿举行的大朝会
初，柳泌等既诛，方士稍复因左右以进，上饵其金石之药	当初，柳泌等人被杀后，方士又逐渐通过穆宗的左右侍从进入宫中，穆宗服用方士所炼制的金石药物
有处士张皋者上疏，以为：神虑澹则血气和，嗜欲胜则疾作	有一个隐居未仕名叫张皋的人上书朝廷，认为：凡是精神澹泊的人就血气相和，身体康健；而欲望强烈的人则容易疾病发作
药以攻疾，无疾不可饵也	药是用来治病的东西，没有病就不要轻易吃
昔孙思邈有言，药势有所偏助，令人藏气不平，借使有疾用药，犹须重慎	过去，孙思邈曾说：药对人身体各个器官的作用是有所偏重的，它会导致人的五脏元气不平，所以，即使有病吃药，也要非常慎重
庶人尚尔，况于天子	对于一般百姓尚且如此，何况天子呢
先帝信方士妄言，饵药致疾，此陛下所详知也，岂得复循其覆辙乎	先帝听信方士的胡言乱语，服用金丹导致疾病发作，陛下是十分清楚的，岂可再蹈覆辙
今朝野之人纷纭窃议，但畏忤旨，莫敢进言	现在，朝廷内外纷纷私下议论这件事，但都恐怕违背陛下的旨意，不敢上书直言
臣生长蓬艾，麋鹿与游，无所邀求，但粗知忠义，欲裨万一耳	我是生长在草莽中的隐居人士，整天和麋鹿相处一起，无所追求，但也大略懂得一些忠义的道理，所以上书朝廷，请以防患于万一
上甚善其言，使求之，不获	穆宗十分赞赏张皋的这一番话，派人去访求张皋，结果，没有找到
丁卯，岭南奏黄洞蛮寇钦州，杀将吏	丁卯，岭南奏报：黄洞蛮侵扰钦州，杀将士和官吏
自戊寅至庚辰，上赐宦官服色及锦采金银甚众，或今日赐绿，明日赐绯	从戊寅，唐敬宗赏赐宦官官服以及锦彩、金银，数额很多，或者今日赐给六品、七品的绿色官服，明日赐给四品、五品的红色官服
初，穆宗既留李绅，李逢吉愈忌之	当初，唐穆宗把李绅留在朝廷任职后，宰相李逢吉更加忌恨他
绅族子虞颇以文学知名，自言不乐仕进，隐居华阳川	李绅的族子李虞由于文章博学而知名一时，他自称不愿做官，因而隐居在华阳川
及从父耆为左拾遗，虞与耆书求荐，误达于绅；绅以书诮之，且以语于众人	等到他的叔父李耆任左拾遗后，李虞写信给李耆，请求向朝廷推荐，不料这封信误送到李绅手中，李绅便写信讥讽他，并把这件事在大庭广众中张扬
虞深怨之，乃诣逢吉，悉以绅平日密论逢吉之语告之	李虞得知后非常气愤，于是，求见李逢吉，把李绅平时暗地里议论李逢吉的话全都告诉了他
逢吉益怒，使虞与补阙张又新及从子前河阳掌书记仲言等伺求绅短，扬之于士大夫间；且言绅潜察士大夫有群居议论者，辄指为朋党，白之于上	李逢吉更加憎恨李绅，于是，让李虞和补阙张又新，以及侄子、前河阳掌书记李仲言等人探察李绅的过失，然后，在士大夫中间张扬，并说：李绅暗地里窥察士大夫，凡有人在一起议论，便指斥为朋党，向皇上告状
由是士大夫多忌之	由此士大夫也大多忌恨李绅
己亥，尊郭太后为太皇太后	己亥，唐敬宗尊奉郭太后为太皇太后
乙巳，尊上母王妃为皇太后	乙巳，唐敬宗尊奉自己的母亲王妃为皇太后
太后，越州人也	皇太后是越州人
丁未，上幸中和殿击球，自是数游宴、击球、奏乐，赏赐宦官、乐人，不可悉纪	丁未，唐敬宗到中和殿去踢球，此后多次游宴、踢球、奏乐，并赏赐宦官和奏乐的伎工，难以全部记载
三月，壬子，赦天下；诸道常贡之外，毋得进奉	三月，壬子，唐敬宗大赦天下，命诸道在规定的上贡数额以外，不准再向朝廷进奉
甲寅，上始对宰相于延英殿	甲寅，唐敬宗开始在延英殿会见宰相，商议朝政大事
庚，赐内教坊钱万缗，以备行幸	庚年，唐敬宗赏赐内教坊钱一万缗，作为外出巡行的准备
夏，四月，甲午，淮南节度使王播罢盐铁转运使	夏季，四月，甲午，唐敬宗罢免淮南节度使王播兼任的盐铁转运使的职务
六月，己卯朔，以左神策大将军康艺全为坊节度使	六月，己卯朔，唐敬宗任命左神策军大将军康艺全为坊节度使
夏绥节度使李入为左金吾大将军，壬申，进马百五十匹；上却之	夏绥节度使李入朝被任命为左金吾大将军，壬申，他向朝廷进奉马一百五十匹，敬宗拒而不收
甲戌，侍御史温造于阁内奏弹违敕进奉，请论如法，诏释之	甲戍，侍御史温造在紫宸殿弹劾李违法进奉，请按法律治罪，敬宗下诏释免
谓人曰：吾夜半入蔡州城取吴元济，未尝心动，今日胆落于温御史矣	李对人说：当年我率军半夜攻入蔡州城活吴元济，都未胆祛，今天在温御史面前竟魂飞胆破了
八月，丁卯朔，安南奏黄蛮入寇	八月，丁卯朔，安南奏报：黄洞蛮进犯
龙州刺史尉迟锐上言：牛心山素称神异，有掘断处，请加补塞	龙州刺史尉迟锐上奏：州内江油县牛心山向来以神仙怪异著名，现在，山上有一处被挖断，请求朝廷批准征发民夫塞补
从之	敬宗批准
役数万人于绝险之地，东川为之疲弊	于是，当地征发一万多人，在高山险要处作业，整个东川都疲弊不堪
九月，丁未，波斯李苏沙献沈香亭子材	九月，丁未，波斯国大商人李苏沙向朝廷奉献沉香木的亭榭材料
左拾遗李汉上言：此何异瑶台、琼室	左拾遗李汉上奏说：这和瑶台、琼室有什么两样
上虽怒，亦优容之	敬宗虽然发怒，但仍然宽容了他
汉，道明之六世孙也	李汉是唐初淮阳王李道玄的弟弟李道明的第六代子孙
十一月，戊午，安南奏：黄蛮与环王合兵攻陷陆州，杀刺史葛维	十一月，戊午，安南奏报：黄洞蛮与环王合兵攻陷陆州，杀刺史葛维
庚申，葬睿圣文惠孝皇帝于光陵；庙号穆宗	庚申，朝廷在光陵埋葬睿圣文惠孝皇帝李桓，庙号穆宗
十二月，庚寅，加天平节度使乌重胤同平章事	十二月，庚寅，唐敬宗加封天平节度使乌重胤同平章事的职务
乙未，徐泗观察使王智兴以上生日，请于泗州置戒坛，度僧尼以资福；许之	乙未，徐泗观察使王智兴借口唐敬宗要过生日，奏请在泗州设置戒坛，剃度僧尼，以此作为向皇上生日的祝福，敬宗批准
自元和以来，敕禁此弊，智兴欲聚货，首请置之，于是四方辐凑，江、淮尤甚，智兴家赀由此累钜万	自从元和年以来，朝廷下敕禁止各地设戒坛剃度僧尼这种弊政，王智兴企图积聚钱财，首先破例请求设置，于是，四方百姓云集而来，其中，以江、淮尤多，王智兴的家财由此而达到数万之多
浙西观察使李德裕上言：若不钤制，至降诞日方停，计丙浙、福建当失六十万丁	浙西道观察使李德裕上奏说：如果不赶快制止，到了陛下的生日才停止的话，那么，总计浙江东道、浙江西道、福建道就会丧失六十万个劳动力
奏至，即日罢之	奏折送到朝廷的当天，敬宗命令王智兴停罢
是岁，回鹘崇德可汗卒，弟曷萨特勒立	这一年，回鹘国崇德可汗去世，他的弟弟曷萨特勒被立为可汗
	敬宗睿武昭愍孝皇帝宝历元年
中书侍郎、同平章事牛僧孺以上荒淫，嬖幸用事，又畏罪不敢言，但累表求出	中书侍郎、同平章事牛僧孺认为唐敬宗荒淫奢侈，身旁的亲信小人掌权，但又怕被敬宗怪罪而不敢直言劝阻，因而，多次上奏请求辞职，出任外地官职
乙卯，升鄂岳为武昌军，以僧孺同平章事、充武昌节度使	乙卯，敬宗下令升鄂岳观察使为武昌军节度使，加封牛僧孺同平章事的职务，充任武昌节度使
三月，辛酉，遣司门郎中于人文册回鹘曷萨特勒为爱登里罗汩没密于合毗伽昭礼可汗	三月，辛酉，唐敬宗派遣司门郎中于人文册命回鹘国曷萨特勒为爱登里汩没密於合毗伽昭礼可汗
秋，七月，甲辰，盐铁使王播进羡馀绢百万匹	秋季，七月，甲辰，盐铁转运使王播以节余为名，向朝廷进奉丝绢一百万匹
播领盐铁，诛求严急，正入不充而羡余相继	王播担任盐铁转运使后，对百姓严厉征求，急如星火，朝廷规定的盐铁专卖收入往往征收不够，而以节余为名向朝廷进奉的财物却源源不断
己未，诏王播造竞渡船二十艘，运材于京师造之，计用转运半年之费	己未，唐敬宗下诏，命王播修造用来游乐比赛用的竞渡船二十艘，并命把造船用的木材运到京城长安修造，总计费用大体相当盐铁转运半年的收入
谏议大夫张仲方等力谏，乃减其半	谏议大夫张仲方等人极力劝阻，敬宗方才下令减为十艘
丙申，立皇子普为晋王	丙申，唐敬宗下诏，立皇子李普为晋王
横海节度使李全略薨；其子副大使同捷领留后，重赂邻道，以求承继	横海节度使李全略去世，他的儿子、横海节度使副大使李同捷擅自为留后，用重金贿赂邻近藩镇，以求继任为节度使
夏季，四月，戊申，以昭义留后刘从谏为节度使	夏季，四月，戊申唐敬宗任命昭义留后刘从谏为昭义节度使
五月，幽州军乱，杀朱克融及其子延龄，军中立其少子延嗣主军务	五月，幽州发生军乱，将士杀节度使朱克融和他的儿子朱延龄，立他的小儿子朱延嗣主持军务
六月，甲子，上御三殿，令左右军、教坊、内园为击球、手搏、杂戏	六月，甲子，唐敬宗亲临三殿，令左右神策军、教坊使、内园栽接使的军士和官吏踢球、摔跤、玩杂戏
戏酣，有断臂、碎首者，夜漏数该乃罢	游玩到兴头时，有人不慎折断胳膊，打破头部，直到半夜很晚才停
已卯，上幸兴福寺，观沙门文溆俗讲	已卯，唐敬宗亲临兴福寺，观看僧人文溆宣讲经文
癸未，衡王绚薨	癸未，衡王李绚去世
壬辰，宣索左藏见在银十万两金七千两，悉贮内藏，以便赐与	壬辰，唐敬宗向左藏库宣旨，索取现银十万两，金子七千两，都贮备在皇帝的私人内藏库中，以便随时赏赐用
道士赵归真说上神仙，僧惟贞、齐贤、正简说上以祷祠求福，皆出入宫禁，上信用其言	道士赵归真以神仙术向唐敬宗宣传游说，僧人惟贞、齐贤、正简以佛教的祈祷求福理论向敬宗宣传游说，这几个人都得出入皇宫，以致敬宗听信他们的宣传游说
山人杜景先请主遍历江、岭，求访异人	占卜算命人杜景先请求敬宗允许自己前往江淮、岭南各道，历遍各州，为敬宗求访有特殊才能异人
有润州人周息元，自言寿数百数，上遣中使迎之	另有润州人周息元，自称已在世数百年，敬宗派宦官前往迎接
八月，乙巳，息元至京师，上馆之禁中山亭	八月，乙巳，周息元抵达长安，敬宗把他安排在皇宫中的山亭住宿
壬申，以中书侍郎、同平章事李程同平章事、充河东节度使	唐敬宗任命中书侍郎、同平章事李程以同平章事的荣誉头衔，充任河东节度使
冬，十月，已亥，以李载义为卢龙节度使	冬季，十月，已亥节度使
十一月，甲申，以门下侍郎、同平章事李逢吉同平章事、充山南东道节度使	十一月，甲申，唐敬宗任命门下侍郎、同平章事李逢吉以同平章事的荣誉头衔，充任山南东道节度使
庚戌，以翰林学士韦处厚为中书侍郎、同平章事	庚戌，唐文宗任命翰林学士韦处厚为中书侍郎、同平章事
春，二月，乙巳，赦天下，改元	春季，二月，乙巳，唐文宗下诏赦天下，改年号为太和
李同捷擅据沧景，朝廷经岁不问	李同捷擅自为横海留后，割据沧景将一年，而朝廷不闻不问
同捷冀易世之后或加恩贷，三月，壬戌朔，遣掌书记崔从长奉表与其弟同志、同巽俱入见，请遵朝旨	李同捷寄希望于文宗即位后会宽容自己，于是，三月，壬戌逆，派遣掌书记崔从长携带他给文宗的奏折，和他的弟弟李同志、李同巽一起前往长安，参见文宗，请求归顺朝延
忠武节度使王沛薨	忠武节度使王沛去世
庚申，以太仆卿高为忠武节度使	庚申唐文宗任命太仆卿高为忠武节度使
盐铁使王播自淮南入朝，力图大用，所献银器以千计，绫绢以十万计	盐铁转运使王播从淮南来京朝拜，企图得到朝廷的进一步重用，因而，奉献银器数千件，绫绢数十万匹
