戊辰，唐王以世子建成为左元帅，秦公世民为右元帅，督诸军十余万人救东都	戊辰，唐王以世子李建成为左元帅，秦公李世民为右元帅，率领各路兵马十余万救援东都
上遣从子襄武公琛、太常卿郑元以女妓遗始毕可汗	唐高祖派侄子襄武公李琛、太常卿郑元把女妓送给突厥始毕可汗
壬戌，始毕复遣骨咄禄特勒来	壬戌，始毕又派遣骨咄禄特勒来唐
癸亥，白马道士傅仁均造《戊寅历》成，奏上，行之	癸亥，白马县的道士傅仁均编成了《戊寅历》，上奏章进呈，唐从此实行《戊寅历》
薛仁果屡攻常达，不能克，乃遣其将仵士政以数百人诈降，达厚抚之	薛仁果屡次攻常达，都未能取胜，于是派他的将领仵士政带几百人诈降，常达待仵士政很优厚
乙丑，士政伺隙以其徒劫达，拥城中二千人降于仁果	乙丑，仵士政伺机带他的部下劫持了常达，带着城里的二千人投降了薛仁果
达见仁果，词色不屈，仁果壮而释之	常达见了薛仁果，言辞表情毫不屈服，薛仁果因为他的豪壮放了他
奴贼帅张贵谓达曰：汝识我乎	奴仆出身的贼帅张贵对常达说：你认识我吗
达曰：汝逃死奴贼耳	常达说：你不就是该死而逃跑的奴贼吗
贵怒，欲杀之；人救之，得免	张贵很气恼，要杀了常达；有人相救，常达才免于一死
辛未，追谥隋太上皇为炀帝	辛未，唐追谥隋太上皇为炀帝
冬，十月，壬申朔，日有食之	冬季，十月，壬申朔，出现日食
戊寅，宴突厥骨咄禄，引骨咄禄升御坐以宠之	戊寅，唐高祖宴请突厥骨咄禄，领骨咄禄登上皇帝的宝座表示恩宠
李密将至，上遣使迎劳，相望于道	李密就要到长安了，高祖接连不断地派人前去迎接慰问
密大喜，谓其徒曰：我拥众百万，一朝解甲归唐，山东连城数百，知我在此，遣使招之，亦当尽至；比于窦融，功亦不细，岂不以一台司见处乎	李密非常高兴，对他的部下说：我拥有百万兵力，一朝脱去战袍归顺唐，崤山以东几百座城镇，知道我在这里，派人去招降，也会全部来归顺的；比起窦融，功劳也不小，还能不给我安排一个要职吗
己卯，至长安，有司供待稍薄，所部兵累日不得食，众心颇怨	己卯，李密到长安，负责部门对他们的供应颇差，李密部下的士兵接连几天没饭吃，众人心里颇生怨气
既而以密为光禄卿、上柱国，赐爵邢国公	不久唐以李密为光禄卿、上柱国，赐他邢国公的爵位
密既不满望，朝臣又多轻之，执政者或来求贿，意甚不平；独上亲礼之，常呼为弟，以舅子独孤氏妻之	李密没能满足原来的期望，大臣们大多又轻视他，有些掌权的人向李密索取贿赂，李密内心很不满意；唯有高祖对待他很好，经常称他为弟，将舅舅的女儿独孤氏嫁给他
庚辰，诏右翊卫大将军淮安王神通为山东道安抚大使，山东诸军并受节度；以黄门侍郎崔民为副	庚辰，唐高祖下诏任命右翊卫大将军淮安王李神通为山东道安抚大使，山东各路兵马都接受他的指挥；以黄门侍郎崔民为副使
癸未，王世充收李密美人珍宝及将卒十余万人还东都，陈于阙下	癸未，王世充收罗了李密的美女珍宝以及部下十几万人回到东都，排列在皇宫门前的阙楼之下
乙酉，皇泰主大赦	乙酉，皇泰主对他们实行大赦
丙戌，以世充为太尉、尚书令、内外诸军事，仍使之开太尉府，备置官属，妙选人物	丙戌，以王世充为太尉、尚书令、内外诸军事，又让他建太尉府，设置官属，选拔优秀人物
世充以裴仁基父子骁勇，深礼之	王世充因为裴仁基父子骁勇，很尊重他们
徐文远复入东都，见世充，必先拜	徐文远又回到东都，见王世充，必定先行礼
或问曰：君倨见李密而敬王公，何也	有人问他：您见李密很傲慢，却很敬重王公，是什么原因
文远曰：魏公，君子也，能容贤士；王公，小人也，能杀故人，吾何敢不拜	徐文远说：魏公李密是君子，能够容纳贤士；王公是小人，老熟人也能杀，我怎么敢不行礼
李密总管李育德以武陟来降，拜陟州刺史	李密的总管李育德以武陟来降唐，拜陟州刺史
育德，谔之孙也	李育德是李谔的孙子
其余将佐刘德威、贾闰甫、高季辅等，或以城邑，或帅众，相继来降	李密手下其他的将领刘德威、贾闰甫、高季辅等人，或者以城镇，或者率领部下，相继前来降唐
隋末群盗起，冠军司兵李袭誉说西京留守阴世师遣兵据永丰仓，发粟以赈贫乏，出库物赏战士，移檄郡县，同心讨贼	隋末，各路豪强纷纷起兵，冠军司兵李袭誉劝说西京留守阴世师派兵占据永丰仓，发放粮食救济贫穷的人，拿出库房里的物品赏给战士，通告郡县，同心讨贼
世师不能用	阴世师没有采用他的建议
乃求募兵山南，世师许之	于是李袭誉请求去山南召募士兵，阴世师答应了他
上克长安，自汉中召还，为太府少卿；乙未，附袭誉籍于宗正	唐高祖攻陷长安，从汉中召李袭誉回长安，任命他为太府少卿；乙未，在宗正寺把李袭誉编入天子宗族的名册
袭誉，袭志之弟也	李袭誉是李袭志的弟弟
丙申，朱粲寇淅州，遣太常卿郑元帅步骑一万击之	丙申，朱粲侵犯淅州，唐派太常卿郑元率领一万步兵、骑兵攻打朱粲
是月，纳言窦抗罢为左武候大将军	这个月，唐纳言窦抗降为左武候大将军
十一月，乙巳，凉王李轨即皇帝位，改元安乐	十一月，乙巳，凉王李轨登皇帝位，改年号安乐
戊申，王轨以滑州来降	戊申，王轨以滑州前来降唐
徐世据李密旧境，未有所属	徐世占据了原属李密的地盘，没有归附任何人
魏徵随密至长安，乃自请安集山东，上以为秘书丞，乘传至黎阳，遗徐世书，劝之早降	魏徵随李密到长安，于是自己请求招抚潼关以东地区，高祖以他为秘书丞，乘驿站的传车到黎阳，致书徐世，劝他尽快投降唐
世遂决计西向，谓长史阳翟郭孝恪曰：此民众土地，皆魏公有也；吾若上表献之，是利主之败，自为功以邀富贵也，吾实耻之	徐世于是决定向西投唐，对长史阳翟人郭孝恪说：这里的百姓和土地，都是魏公的，我如果上表献百姓土地，是利用主人的失败，当作自己的功劳求得富贵，我深以为耻
今宜籍郡县户口士马之数以启魏公，使自献之	现在应当登记郡县的户口、士兵及马匹的数目，上报魏公，由他自己献上
乃遣孝恪诣长安，又运粮以饷淮安王神通	于是派遣郭孝恪到长安，又运粮食供给淮安王李神通
上闻世使者至，无表，止有启与密，甚怪之	高祖听说徐世的使者到长安，没有奉表，只有书信给李密，非常奇怪
孝恪具言世意，上乃叹曰：徐世不背德，不邀功，真纯臣也	郭孝恪陈述了徐世的意思，高祖于是感叹道：徐世不违背道德，不希求功劳，真是个好臣子呀
赐姓李	赐他姓李
以孝恪为宋州刺史，使与世经略虎牢以东，所得州县，委之选补	以郭孝恪为宋州刺史，让他和李世策划处理虎牢以东地区，得到的州县，委任他们选补官吏
癸丑，独孤怀恩攻尧君素于蒲反	癸丑，独孤怀恩在蒲反攻打尧君素
行军总管赵慈景尚帝女桂阳公主，为君素所擒，枭首城外，以示无降意	行军总管赵慈景娶高祖的女儿桂阳公主为妻，被尧君素俘虏，尧君素杀了他，把头挂在城外，以表示没有投降的意思
癸亥，秦王世民至长安，斩薛仁果于市，赐常达帛三百段	癸亥，秦王李世民到长安，在闹市杀了薛仁果，赐给常达三百段帛
赠刘感平原郡公，谥忠壮	追赠刘感平原郡公，谥号忠壮
扑杀仵士政于殿庭	在宫殿庭院中击杀了仵士政
以张贵尤淫暴，腰斩之	因为张贵太荒淫暴虐，腰斩了张贵
上享劳将士，因谓群臣曰：诸公共相翊戴以成帝业，若天下承平，可共保富贵	高祖宴请慰劳将士，乘机对群臣说：各位共同的辅助拥戴使我成就了帝王之业，假如天下承平，可以共同保守富贵
使王世充得志，公等岂有种乎	让王世充得志，各位还能有性命身家吗
如薛仁果君臣，岂可不以为前鉴也	像薛仁果君臣，怎么能不作为前车之鉴呢
己巳，以刘文静为户部尚书，领陕东道行台左仆射；复殷开山爵位	己巳，以刘文静为户部尚书，领陕东道行台左仆射；恢复殷开山的爵位
有大鸟五集于乐寿，群鸟数万从之，经日乃去	有五只大鸟落在乐寿，数万只鸟随着大鸟，经过一天才离开
窦建德以为己瑞，改元五凤	窦建德以为是自己的祥瑞之兆，改年号五凤
宗城人有得玄圭献于建德者，宋正本及景城丞会稽孔德绍皆曰：此天所以赐大禹也，请改国号曰夏	宗城有人得到玄圭献给窦建德，宋正本和景城丞会稽人孔德绍都说：这是上天赐给大禹的，请将国号改为夏
建德从之	窦建德听从了他们的请求
以正本为纳言，德绍为内史侍郎	以宋正本为纳言，孔德绍为内史侍郎
十二月，壬申，诏以秦王世民为太尉、使持节、陕东道大行台，其蒲州、河北诸府兵马并受节度	十二月，壬申，唐高祖下诏以秦王李世民为太尉、使持节、陕东道大行台，蒲州及黄河以北各府的兵马都受他指挥
癸酉，西突厥曷娑那可汗自宇文化及所来降	癸酉，西突厥曷娑那可汗从宇文化及处前来投降
辛巳，太常卿郑元击朱粲于商州，破之	辛巳，太常卿郑元在商州攻打朱粲，打败了他
以西突厥曷娑那可汗为归义王，曷娑那献大珠，上曰：珠诚至宝；然朕宝王赤心，珠无所用	唐以西突厥曷娑那可汗为归义王，曷娑那献大珍珠，唐高祖说：珠子确实是少有的宝物，但朕所宝贵的是王的赤心，珠子没有用
竟还之	最后归还了珠子
乙酉，车驾幸周氏陂，过故墅	乙酉，唐高祖御驾临幸周氏陂，经过故墅
初，羌豪旁企地以所部附薛举，及薛仁果败，企地来降，留长安	当初，羌族豪强旁企地率领部落归附薛举，待薛仁果败亡，旁企地前来降唐，留在长安
企地不乐，帅其众数千叛，入南山，出汉川，所过杀掠	旁企地感到不愉快，又率领几千部下反叛，进入南山，从汉川出，经过之处烧杀抢掠
武候大将军庞玉击之，为企地所败	武候大将军庞玉攻打旁企地，被旁企地打败
企地行至始州，掠女子王氏，与俱醉卧野外；王氏拔其佩刀，斩首送梁州，其众遂溃	旁企地走到始州，抢了姓王的女子，二人一同喝醉了躺在野外；王氏拔出旁企地的佩刀，割了旁企地的头送到梁州，旁企地的部下也就溃散了
诏赐王氏号为崇义夫人	高祖下诏赐王氏尊号为崇义夫人
壬辰，王世充帅众三万围州，刺史任拒却之	壬辰，王世充率领三万人包围州，唐州刺史任抵御并击退了王世充
上使李密分其麾下之半留华州，将其半出关	高祖让李密把他手下的人马分一半留在华州，带一半出关
长史张宝德预在行中，恐密亡去，罪相及；上封事，言其必叛	长史张宝德在出行的一半中，恐怕李密逃亡，受牵连；上密封的奏章，说李密必叛
上意乃中变，又恐密惊骇，乃降敕书劳来，令密留所部徐行，单骑入朝，更受节度	高祖便中途改变想法，又怕李密受惊动，于是降下敕书慰问，命李密留下部队慢慢前进，一个人骑马入朝，另外接受安排
隋右武卫大将军李景守北平，高开道围之，岁余不能克	隋右武卫大将军李景守卫北平，高开道围北平，一年多不能攻陷
辽西太守邓将兵救之，景帅其众迁于柳城；后将还幽州，于道为盗所杀	辽西太守邓领兵救援，李景带领部下迁到柳城；后来准备回幽州，在路上被强盗杀死
开道遂取北平，进陷渔阳郡，有马数千匹，众且万，自称燕王，改元始兴，都渔阳	高开道于是攻取了北平，进一步又攻陷渔阳郡，拥有数千匹马，近一万人，自称燕王，改年号为始兴，都城设在渔阳
有犯法不至死者，上特命杀之	有些人犯了法但不够判死罪，高祖特别下令杀了
监察御史李素立谏曰：三尺法，王者与天下共也；法一动摇，人无所措手足	监察御史李素立规劝说：法律，是王者和天下百姓共同遵守的；法一动摇，人就会无所措手足
陛下甫创洪业，奈何弃法	陛下才开创了大事业，怎么可以丢掉法律
臣忝法司，不敢奉诏	臣下我愧为法律官员，不敢接受诏命
上从之	高祖听从了他的规劝
自是特承恩遇，命所司授以七品清要官；所司拟雍州司户，上曰：此官要而不清	从此李素立受到特别的宠遇，高祖命令有关部门授予他七品清要官；负责部门打算让他作雍州司户，高祖说：这个职位虽属枢要，但不清贵
