春正月，初置骥厩丞，领受郡国调马	春季，正月，首次设立骥厩丞，负责接收和饲养从各郡、国征发来的马匹
布谓灵等曰：玄德，布弟也，为诸君所困，故来救之	吕布对纪灵等人说：刘玄德是我的弟弟，被你们围困，所以我来救他
布性不喜合斗，喜解斗耳	我生性不喜欢聚合别人争斗，只喜欢化解别人的争斗
乃令军候植戟于营门，布弯弓顾曰：诸君观布射戟小支，中者当各解兵，不中可留决斗	于是命令军官把铁戟竖立在营门，吕布拉满了弓，对旁观的人说：你们看我射戟头旁边的戟支，如果射中，你们就各自罢兵，如果不中，你们可以留下厮杀
布即一发，正中戟支	吕布随即射了一箭，正中戟支
灵等皆惊，言：将军天威也	纪灵等全都大吃一惊，说：将军真是天赋神威
明日复欢会，然后各罢	第三天，又设酒欢宴，然后各自班师
三月，诏将作大匠孔融持节拜袁绍大将军，兼督冀、青、幽、并四州	三月，献帝下诏，派将作大匠孔融持符节到邺城，任命袁绍为大将军，兼管冀州、青州、幽州、并州四州的军务
夏，五月，蝗	夏季，五月，发生蝗灾
夏，四月，使谒者仆射裴茂，诏关中诸将段煨等讨李，夷其三族	夏季，四月，朝廷派谒者仆射裴茂到关中传达献帝所下诏书，命令段煨等诸将领联合讨伐李
以煨为安南将军，封乡侯	段煨等将李的本族亲属全部诛灭，任命段煨为安南将军，封乡侯
刘表与袁绍深相结约	刘表与袁绍往来密切，交情深厚
治中邓谏表，表曰：内不失贡职，外不背盟主，此天下之达义也	治中邓对他进行劝告，刘表说：我对朝廷不缺进贡，对地方不背盟主，这是天下人都能理解的道理
治中独何怪乎	你为什么偏要见怪呢
乃辞疾而退	于是邓自称有病而辞去职务
以卫将军董承车骑将军	任命卫将军董承为车骑将军
袁绍既克公孙瓒，心益骄，贡御稀简	袁绍消灭公孙瓒后，更加骄横，对朝廷进贡的次数和数量减少
主簿耿包密白绍，宜应天人，称尊号	主簿耿包秘密向袁绍建议，应当应天顺民，即位称帝
绍以包白事示军府	袁绍把耿包的建议告诉军府的官员，官员们一致认为耿包大逆不道，应该斩首
僚属皆言包妖妄，宜诛，绍不得已，杀包以自解	袁绍不得已，杀掉耿包以表白自己无意称帝
汝南黄巾刘辟等叛曹操应袁绍，绍遣刘备将兵助辟，郡县多应之	汝南郡的黄巾军首领刘辟等背叛曹操，响应袁绍，袁绍派遣刘备统兵去援助刘辟，周围的郡、县纷纷起来响应
绍遣使拜阳安都尉李通为征南将军，刘表亦阴招之，通皆拒焉	袁绍派使者委任阳安郡都尉李通为征南将军，刘表也暗中派人来招李通，李通一概拒绝
或劝通从绍，通按剑叱之曰：曹公明哲，必定天下；绍虽强盛，终为之虏耳	有人劝李通与袁绍联络，李通手按剑柄叱责说：曹公明智，必然平定天下；袁绍虽然强盛，终究会败在曹公之手
吾以死不贰	我誓死不二
即斩绍使，送印绶诣操	随即杀死袁绍使者，把袁绍送来的印绶上交给曹操
九月，庚午朔，日有食之	九月，庚午朔，出现日食
曹操出兵与袁绍战，不胜，复还，坚壁	曹操出兵与袁绍交战，没有取胜，又退回营垒，坚守不出
绍为高橹，起土山，射营中，营中皆蒙而行	袁绍军中制造高楼，堆起土山，居高临下地向曹营射箭，曹军在营中行走，都要用盾牌遮挡飞箭
操乃为霹雳车，发石以击绍楼，皆破；绍复为地道攻操，操辄于内为长堑以拒之	曹操制成霹雳车，发射石块，将袁绍的高楼全都击毁
操众少粮尽，士卒疲乏，百姓困于征赋，多叛归绍者	袁绍又挖地道进攻，曹军在营内挖一道长长的深沟，以抵御袁军从地下来攻
操患之，与荀书，议欲还许，以致绍师	曹操兵少粮尽，士兵疲惫不堪，百姓无法交纳沉重的赋税，纷纷背叛而降附袁绍
报曰：绍悉众聚官渡，欲与公决胜败	曹操大为忧虑，给荀写信，说准备用退回许都的办法，引诱袁军深入
公以至弱当至强，若不能制，必为所乘，是天下之大机也	荀回信说：袁绍集中全部军队到官渡，打算与您一决胜负
且绍，布衣之雄耳，能聚人而不能用	您以最弱者抵抗最强者，如果不能制敌，就将为敌所制，这正是夺取天下的重要关键
以公之神武明哲而辅以大顺，何向而不济	而且，袁绍只是布衣中的英雄罢了，能把人才招集在自己身边，却不能任用
今谷食虽少，未若楚、汉在荥阳、成间也	以您的神武明智，加上尊奉天子、名正言顺，有谁能阻拦得住
是时刘、项莫肯先退者，以为先退则势屈也	如今，粮食虽少，但还没有到楚、汉在荥阳、成对峙时的困境
公以十分居一之众，画地而守之，扼其喉而不得进，已半年矣	那时刘邦、项羽谁也不肯先向后撤，是因为先退就会处于劣势
情见势竭，必将有变	您的军队只有袁绍军队的十分之一，但您坚守不动，扼住袁军的咽喉，使袁军无法前进，已长达半年
此用奇之时，不可失也	情势显现，已到终结，必将发生变化，这正是出奇制胜的时机，一定不能放弃
操从之，乃坚壁持之	曹操听从荀的劝告，于是坚守营垒，与袁绍相持
冬，十月，辛亥，有星孛于大梁	冬季，十月，辛亥，有异星出现在大梁星次
曹操闻孙策死，欲因丧伐之	曹操听到孙策的死讯，打算乘孙权等正在办丧事之机，大举讨伐
侍御史张谏曰：乘人之丧，既非古义，若其不克，成雠弃好，不如因而厚之	侍御史张说：乘人办丧事进行讨伐，是不符合古代道义的，如果不能攻克，便化友为敌，不如利用这个机会厚待他
操即表权为讨虏将军，领会稽太守	于是曹操上表推荐孙权担任讨虏将军，兼任会稽郡太守
张鲁以刘璋暗懦，不复承顺，袭别部司马张，杀之而并其众	张鲁认为刘璋懦弱无能，不再服从刘璋的命令，袭击别部司马张，杀死张而吞并了他的队伍
璋怒，杀鲁母及弟，鲁遂据汉中，与璋为敌	刘璋大怒，杀死张鲁的母亲和弟弟，于是张鲁占据汉中地区，与刘璋为敌
璋遣中郎将庞羲击之，不克	刘璋派中郎将庞羲进攻张鲁，未能取胜
璋以羲为巴郡太守，屯阆中以御鲁	刘璋委任庞羲为巴郡太守，驻守阆中，抵抗张鲁
羲辄召汉昌民为兵，或构羲于璋，璋疑之	庞羲未请示刘璋，就召集汉昌的人为兵，有人向刘璋诬告庞羲图谋不轨，刘璋起疑
赵韪数谏不从，亦恚恨	赵韪屡次劝告刘璋，刘璋不加理睬，赵韪也怀恨在心
春，三月，丁卯朔，日有食之	春季，三月，丁卯，出现日食
曹操遣夏侯渊、张辽围昌于东海，数月，粮尽，议引军还	曹操派遣夏侯渊、张辽率军在东海围攻昌，数月未能攻下，曹军粮草已尽，将领们商议撤军
辽谓渊曰：数日已来，每行诸围，辄属目视辽，又其射矢更稀；此必计犹豫，故不力战	张辽对夏侯渊说：几天以来，我每次巡视阵地，昌的目光总追随着我，而且他们的箭也比以前射得更少
辽欲挑与语，傥可诱也	这必定是昌心中犹豫，所以未尽全力作战
乃使谓曰：公有命，使辽传之	我准备引动他交谈，或许能诱使他归降
果下与辽语	于是，张辽派人对昌说：曹公有命令，让张辽传达给你
辽为说操神武，方以德怀四方，先附者受大赏	昌果然下城与张辽交谈
乃许降	张辽向他盛赞曹操的谋略武功，说曹操正广施恩德，招纳四方豪杰，先归附的可受到重赏
辽遂单身上三公山，入家，拜妻子	昌便答应投降
欢喜，随辽诣操；操遣还	张辽就孤身一人上三公山，到昌家中，会见他的妻子，昌十分高兴，随张辽一起去拜见曹操，曹操命昌返回原处
赵韪围刘璋于成都	赵韪率军在成都包围刘璋，东州人恐怕受到屠杀，都拼死作战，杀退赵韪，并追击到江州将他杀死
东州人恐见诛灭，相与力战，韪遂败退，追至江州，杀之	庞羲听说赵韪被杀，心中恐惧，派属官程祁传达命令给他父亲汉昌县令程畿，征调人队伍
庞羲惧，遣吏程祁宣旨于其父汉昌令畿，索兵	程畿说：郡里召集队伍，本不是为了叛乱，纵然有人进谗言加以陷害，也只能对上表白我们的忠诚，如果因此而怀有异心，则我不敢遵从命令
畿曰：郡合部曲，本不为乱，纵有谗谀，要在尽诚，若遂怀异志，不敢闻命	庞羲又派程祁去劝说程畿，程畿说：我受到刘州牧的大恩，应当为他尽节；而你身为郡的官员，自当为庞太守效力
羲更使祁说之，畿曰：我受牧恩，当为尽节，汝为郡吏，自宜效力	不义的事情，我宁死也不会去做
不义之事，有死不为	庞羲大怒，派人对程畿说：如果你不服从太守，将给你全家带来灾祸
羲怒，使人谓畿曰：不从太守，祸将及家	程畿说：乐羊吃下他儿子的肉，并不是没有父子间的恩情
畿曰：乐羊食子，非无父子之恩，大义然也	而是为了维护君臣大义
今虽羹祁以赐畿，畿啜之矣	如今，即使庞太守把程祁煮成肉羹来赐给我，我也会吃下去
羲乃厚谢于璋	庞羲无奈，便送上重礼，向刘璋道歉
璋擢畿为江阳太守	刘璋提拨程畿担任江阳郡太守
袁尚亲自统帅大军进攻袁谭，袁谭大败，逃到平原，据城固守	孙权西伐黄祖，破其舟军，惟城未克，而山寇复动
袁尚将城围住，发动猛攻	权还，过豫章，使征虏中郎将吕范平鄱阳、会稽，荡寇中郎将程普讨乐安，建昌都尉太史慈领海昏，以别部司马黄盖、韩当、周泰、吕蒙等守剧县令长，讨山越，悉平之
袁谭派辛评的弟弟辛毗到曹操那里求救	建安、汉兴、南平民作乱，聚众各万余人，权使南部都尉会稽贺齐进讨，皆平之，复立县邑，料出兵万人；拜齐平东校尉
冬季，十月，有异星出现在东井星旁	高干以并州降，操复以干为并州刺史
八月，曹操向东讨伐海上的盗贼管承，进军到淳于，派大将乐进、李典击败管承，管承逃到海岛上	昌复叛，操遣于禁讨斩之
昌又背叛曹操，曹操派于禁讨伐，斩杀昌	是岁，立故琅邪王容子熙为琅邪王，齐、北海、阜陵、下邳、常山、甘陵、济阴、平原八国皆除
冬季，十月，辛卯，有异星出现在鹑尾星次	乙巳，黄巾杀济南王
乙巳，黄巾军杀死济南王刘	十一月，曹操至易水，乌桓单于代郡普富卢、上郡那楼皆来贺
十一月，曹操到达易水，乌桓代郡部落单于普富卢、上郡部落单于那楼都来向曹操祝贺	是岁，孙权西击共祖，虏其人民而还
这一年，孙权向西攻击黄祖，俘虏百姓后返回吴郡	权母吴氏疾笃，引见张昭等，属以后事而卒
起初，琅邪人诸葛亮寄居襄阳隆中，经常把自己比作管仲和乐毅；但当时人并不认可，只有颍川人徐庶与崔州平认为确是如此	春，正月，司徒赵温辟曹操子丕
崔州平是崔烈的儿子	操表温辟臣子弟，选举故不以实；策免之
曹操派张辽驻守长社，临出发时，军中有人造反，乘夜在营中放火，全军都惊恐不定	初，前将军马腾与镇西将军韩遂结为异姓兄弟，后以部曲相侵，更为雠敌
张辽对左右说：不要乱动	朝廷使司隶校尉锺繇、凉州刺史韦端和解之，徵腾入屯槐里
这不是全营的人都想造反，只是少数叛乱分子制造混乱，想扰乱军心	曹操将征荆州，使张既说腾，令释部曲还朝，腾许之
就下令说：凡没有参与叛乱的，都坐在那里不动	已而更犹豫，既恐其为变，乃移诸县促储，二千石郊迎，腾不得已，发东
张辽率领数十名亲兵在营的中央站定，过了一会，全军都安定下来，随即捉到主谋的人，将他们处死	操表腾为卫尉，以其子超为偏将军，统其众，悉徒其家属诣邺
秋季，七月，曹操出军南征刘表	八月，丁未，汉光禄勋山阳郗虑为御史大夫
秋季，七月，曹操统率水军自涡水进入淮河，在肥水登岸，驻屯合肥，重新修整芍陂的水利设施，在周围地区屯田	冬，十月，荆州地震
冬季，十月，荆州地区发生地震	十二月，操军还谯
十二月，曹操的军队返回谯县	庐江人陈兰、梅成据、六叛，操遣荡寇将军张辽讨斩之；因使辽与乐进、李典等将七千余人屯合肥
二月，乙巳朔，出现日食	冬，曹操作铜爵台于邺
夏季，五月，癸未，诛杀卫尉马腾，并把他的三族一齐处死	六月，庚寅晦，日有食之
六月，庚寅晦，出现日食	秋，七月，螟
秋季，七月，发生螟灾	马超等余众屯蓝田，夏侯渊击平之
马超等人的残余部众驻守蓝田，夏侯渊率军讨伐，全部平定	九月，庚戌，立皇子熙为济阴王，懿为山阳王，邈为济北王，敦为东海王
庚寅，献帝下诏，把全国的十四个州合并，恢复为九个州	夏，四月，曹操至邺
秋季，七月，魏国开始建立祭祀土神与谷神的社稷坛和曹氏祖先的宗庙	魏公操纳三女为贵人
春季，二月，魏公曹操回到邺城	夏，五月，进魏公操爵为王
夏季，五月，进封魏公曹操为王	五月，已亥朔，日有食之
代郡乌桓的三个首领都称单于，依仗实力，态度骄横，恣意妄行，以往的太守对他们无可奈何	初，南匈奴久居塞内，与编户大同而不输贡赋
