春，正月，甲申，魏主备法驾，诣道坛受符，旗帜尽青	春季，正月，甲申，北魏国主拓跋焘备好车驾，打着全青色的旗帜来到道教神坛前接受符
癸巳，劭葬太祖于长宁陵，谥曰景皇帝，庙号中宗	癸巳，刘劭把文帝安葬在长宁陵，谥号为景皇帝，庙号为中宗
初，帝之讨西阳蛮也，臧质使柳元景将兵会之	当初，刘骏奉命前去讨伐西阳蛮人的时候，雍州刺史臧质派遣柳元景率领军队前往与他的大军汇合
及质起兵，欲奉南谯王义宣为主，潜使元景帅所领西还，元景即以质书呈帝，语其信曰：臧冠军当是未知殿下义举耳	臧质起兵反抗刘劭，打算拥戴南谯王刘义宣为皇帝时，又偷偷派人让柳元景率领自己的军队赶快向西返回，柳元景把臧质的密信呈报给了刘骏，并告诉那个送信的人说：臧冠军将军一定是还不知道武陵王殿下的大义之举
方应伐逆，不容西还	现在应当讨伐叛逆之人，不容许我撤退回师
质以此恨之	臧质因此对柳元景非常痛恨
及元景为雍州，质虑其为荆、江后患，建议元景当为爪牙，不宜远出	到了朝廷任命柳元景为雍州刺史的时候，臧质十分担心柳元景将来会成为荆州和江州的后患，因此，他向刘骏建议，说柳元景是朝廷的得力帮手，不应该让他远离京师，而应留在朝廷
帝重违其言，戊申，以元景为护军将军，领石头戍事	刘骏就改变自己的决定，戊申，改任柳元景为护军将军，兼任石头戍事
己酉，以司州刺史鲁爽为南豫州刺史	己酉，刘宋任命司州刺史鲁爽为南豫州刺史
庚戌，以卫军司马徐遗宝为兖州刺史	庚戌，任命卫军司马徐遗宝为兖州刺史
辛未，徒南谯王义宣为南郡王，随王诞为竟陵王，立义宣次子宜阳侯恺为南谯王	辛未，改封南谯王刘义宣为南郡王，改封随王刘诞为竟陵王，封刘义宣的次子宜阳侯刘恺为南谯王
闰月，壬申，以领军将军沈庆之为南兖州刺史，镇盱眙	闰六月，壬申，任命领军将军沈庆之为南兖州刺史，镇守盱眙
癸酉，以柳元景为领军将军	癸酉，任命柳元景为领军将军
乙亥，魏太皇太后赫连氏殂	乙亥，北魏国的太皇太后赫连氏去世
丞相义宣固辞内任及子恺王爵	丞相刘义宣坚决辞让自己在朝廷所担任的职务以及他儿子刘恺所封的崐王爵爵位
甲午，更以义宣为荆、湘二州刺史，恺为宜阳县王，将佐以下并加赏秩	甲午，刘宋改任刘义宣为荆、湘二州刺史，刘恺为宜阳县王，对将佐以下的大小官员们一律加以赏赐
以竟陵王诞为扬州刺史	任命竟陵王刘诞为扬州刺史
秋，七月，辛酉朔，日有食之	秋季，七月，辛酉朔，出现日食
甲寅，诏求直言	甲寅，刘骏颁下诏令，要求文武官员畅所欲言，对朝廷内政进行评说
辛酉，诏省细作并尚方，雕文涂饰；贵戚竞利；悉皆禁绝	辛酉，再一次下诏，裁减细作署，并入尚方署；宫廷雕刻和装饰，皇亲贵戚竟相贪利，一律加以禁绝
乙丑，魏濮阳王闾若文、征西大将军永昌王仁皆坐谋叛，仁赐死于长安，若文伏诛	乙丑，北魏濮阳王闾若文和征西大将军、永昌王拓跋仁，图谋反叛，拓跋仁在长安被赐自杀，闾若文被斩首
南海太守萧简据广州反	刘宋南海太守萧简占据广州城反叛
简，斌之弟也	萧简是萧斌的弟弟
诏新南海太守南昌邓琬、始兴太守沈法系讨之	刘骏颁下诏令，任命新任南海太守、南昌人邓琬和始兴太守沈法系一齐出兵前去讨伐
法系，庆之之从弟也	沈法系是沈庆之的堂弟
简诳其众曰：台军是贼劭所遣	萧简欺骗他手下的人说：朝廷来的军队，是叛贼刘劭派遣来的
众信之，为之固守	他手下的人相信了萧简的谎言，所以为他卖命固守广州城池
琬先至，止为一攻道；法系至，曰：宜四面并攻；若守一道，何时可拔	邓琬率兵首先到达，只作一面攻击
琬不从	随后，沈法系赶到，说：我们应该从四方同时进攻，如果只是从一面攻战，什么时候才能攻下来呢
法系曰：更相申五十日	邓琬没有接受沈法系的建议
日尽又不克，乃从之	沈法系说：我们再把约定进攻期限延长五十天
八道俱攻，一日即破之	五十天的期限到了，他们仍然没有攻下广州，邓琬这才接受沈法系的建议，军队从八路同时围攻，只一天的功夫就攻克了广州城
九月，丁卯，斩简，广州平	九月，丁卯，将萧简斩首，广州叛乱全部平息
法系封府库付琬而还	沈法系查封了广州城内的仓库，把它交付给邓琬，自崐己率领军队返回
冬，十一月，丙午，以左军将军鲁秀为司州刺史	冬季，十一月，丙午，刘宋任命左军将军鲁秀为司州刺史
辛酉，魏主如信都、中山	辛酉，北魏国主前往信都、中山
十二月，癸未，以将置东宫，省太子率更令等官，中庶子等各减旧员之半	十二月，癸未，刘宋因为将要设置东宫，撤销太子率更令等官职，中庶子等官职按旧编制减少一半
甲午，魏主还平城	甲午，北魏国主返回平城
春，正月，己亥朔，上祀南郊，改元，大赦	春季，正月，已亥朔，刘宋孝武帝刘骏前往南郊祭天，改年号为孝建，实行大赦
甲辰，以尚书令何尚之为左光禄大夫、护军将军，以左卫将军颜竣为吏部尚书、领骁骑将军	甲辰，任命尚书令何尚之为左光禄大夫、护军将军，左卫将军颜竣为吏部尚书、领骁骑将军
壬戌，更铸孝建四铢钱	壬戌，刘宋改铸孝建四铢钱
乙丑，魏以侍中伊为司空	乙丑,北魏任命侍中伊为司空
丙子，立皇子子业为太子	丙子，刘宋孝武帝立皇子刘子业为太子
初，江州刺史臧质，自谓人才足为一世英雄；太子劭之乱，质潜有异图，以荆州刺史南郡王义宣庸暗易制，欲外相推奉，因而覆之	当初，刘宋江州刺史臧质认为自己的聪明才智，足可以称为一代英雄
质于义宣为内兄，既至江陵，即称名拜义宣	太子刘劭杀父时，臧质暗中有叛逆的打算
义宣惊愕问故	他认为荆州刺史、南郡王刘义宣昏庸无能，容易受人控制，所以，准备表面拥戴刘义宣称帝，再趁机推翻他
质曰：事中宜然	臧质是刘义宣的表哥，他到了江陵以后，却自称名字去叩拜刘义宣，刘义宣见状极为惊愕，问他为什么要这么做，臧质回答说：事变之中，理应如此
时义宣已奉帝为主，故其计不行	当时刘义宣已明确表示拥护刘骏称帝，臧质的计划没有实现
及至新亭，又拜江夏王义恭，曰：天下屯危，礼异常日	他们到达新亭的时候，臧质又用同样的礼仪去叩拜江夏王刘义恭，并且说：此刻天下危机四伏，岌岌可危，礼仪也应跟平时的日子不一样
甲午，魏主诣道坛受图	甲午，北魏国主来到道教神坛，接受道教符
丙申，以安北司马夏侯祖欢为兖州刺史	丙申，刘宋朝廷任命安北司马夏侯祖欢为兖州刺史
三月，已亥，内外戒严	三月，己亥，建康城内外戒严
辛丑，以徐州刺史萧思话为江州刺史，柳元景为雍州刺史	辛丑，任命徐州刺史萧思话为江州刺史，柳元景为雍州刺史
癸卯，以太子左卫率庞秀之为徐州刺史	癸卯，任命太子左卫率庞秀之为徐州刺史
癸亥，以吴兴太守刘延孙为尚书右仆射	癸亥，刘宋朝廷提升吴兴太守刘延孙为尚书右仆射
六月，丙寅，魏主如阴山	六月，丙寅，北魏国主前往阴山
上使王公、八座与荆州刺史朱之书，令丞相义宣自为计	孝武帝下令王、公以及八座，给荆州刺史朱之写信，让朱之告诉丞相刘义宣自己裁断
书未达，庚寅，之入江陵，杀之宣，并诛其子十六人，及同党蔡超民、从事中郎蔡超、谘议参军颜乐之等	信还没送到，庚寅，朱之已经进入江陵，杀了刘义宣，同时诛杀了刘义宣的十六个儿子以及刘义宣的同党竺超民、从事中郎蔡超、谘议参军颜乐之等
超民兄弟应从诛，何尚之上言：贼既遁走，一夫可擒	竺超民的兄弟在以前就应该在斩首，何尚之上书说：贼寇刘义宣已经远远逃走，一个人就可以抓获他
若超民反覆昧利，即当取之，非唯免愆，亦可要不义之赏	如果竺超民是个反复无常、贪图小利的人，那么，他就应该逮捕刘义宣，这样，不但自己可以免于惩处，而且，还可以得到不义的封赏
而超民曾无此意，微足观过知仁	但是，竺超民却并没有这种想法，从他的这一过失中，我们足可以看到他的仁义之心
且为官保全城府，谨守库藏，端坐待缚	而且，竺超民为朝廷保住了江陵城池，他一直是小心地坚守江陵的仓库，端坐在那里等待被抓
今戮及兄弟，则与其馀逆党无异，于事为重	如果我们今天连他的兄弟也要杀了，同其他叛贼逆党一样对待而无分别，刑罚是过于重了
上乃原之	于是，孝武帝赦免了竺超民的兄弟
秋，七月，丙申朔，日有食之	秋季，七月，丙申朔，出现日食
庚子，魏皇子弘生；辛丑，大赦，改元兴光	庚子，北魏皇子拓跋弘出生
	辛丑，北魏实行大
丙辰，大赦	丙辰，刘宋实行大赦
八月，甲戌，魏赵王深卒	八月，甲戌，北魏的赵王拓跋深去世
乙亥，魏主还平城	乙亥，北魏国主返回平城
春，正月，魏车骑大将军乐平王拔有罪赐死	春季，正月，北魏车骑大将军乐平王拓跋拔有罪，被命令自杀
镇北大将军、南兖州刺史沈庆之请老；二月，丙寅，以为左光禄大夫、开府仪同三司	镇北大将军、南兖州刺史沈庆之请求告老还乡
庆之固让，表疏数十上，又面自陈，乃至稽颡泣涕	二月，丙寅，朝廷任命沈庆之为左光禄大夫、开府仪同三司
上不能夺，听以始兴公就第，厚加给奉	沈庆之坚决辞让，几十次上奏章，同时，又当孝武帝面自己陈说，言辞恳切，甚至于到了叩头哭泣的地步，孝武帝无法改变他的意志，只好让他以始兴公爵的身份回到了自己的私宅养老，并优厚地供给他的用度和俸禄
顷之，上复欲用庆之，使何尚之往起之	不久，孝武帝想要再次起用沈庆之，就派何尚之前往去劝说
尚之累陈上意，庆之笑曰：沈公不效何公，往而复返	何尚之一次次地反复陈述孝武帝的想法，沈庆之笑着对何尚之说：沈公不致仿效何公，离开了又再次回去
尚之惭而止	何尚之听后，面有愧色，也就不再去劝说沈庆之
辛巳，以尚书右仆射刘延孙为南兖州刺史	辛己，朝廷任命尚书右仆射刘延孙为南兖州刺史
夏，五月，戊戌，以湘州刺史刘遵考为尚书右仆射	夏季，五月，戊戌，朝廷任命湘州刺史刘遵考为尚书右仆射
六月，壬戌，魏改元太安	六月，壬戌，北魏改年号为太安
甲子，大赦	甲子，刘宋朝下令大赦
甲申，魏主还平城	甲申，北魏国主返回平城
秋，七月，癸巳，立皇弟休为山阳王，休茂为海陵王，休业为鄱阳王	秋季，七月，癸巳，孝武帝立皇弟刘休为山阳王、刘休茂为海陵王、刘休业为鄱阳王
丙辰，魏主如河西	丙辰，北魏国主前往河西
丁亥，魏主还平城	丁亥，北魏国主返回平城
庚午，魏以辽西王常英为太宰	庚午，北魏任命辽西王常英为太宰
壬午，以太傅义恭领扬州刺史，竟陵王诞为司空、领南徐州刺史，建平王宏为尚书令	壬午，朝廷任命太傅刘义恭兼任扬州刺史，竟陵王刘诞为司空、领南徐州刺史，建平王刘宏为尚书令
春，正月，庚寅，立皇弟休范为顺阳王，休若为巴陵王	春季，正月，庚寅，孝武帝立皇弟刘休范为顺阳王，刘休若为巴陵王
戊戌，立皇子子尚为西阳王	戊戌，孝武帝立皇子刘子尚为西阳王
壬子，纳右卫将军何女为太子妃	壬子，孝武帝为太子刘子业娶右卫将军何的女儿何令婉为太子妃
，澄之曾孙也	何是何澄的曾孙
甲寅，大赦	甲寅，实行大赦
丁零数千家匿井陉山中为盗，魏选部尚书陆真与州郡合兵讨灭之	北魏丁零部落几千户人家，躲藏到井陉山做强盗，北魏选部尚书陆真和地主州郡联合出兵，消灭了这伙强盗
闰月，戊午，以尚书左仆射刘遵考为丹杨尹	闰三月，戊午，刘宋朝廷任命尚书左仆射刘遵考为丹杨尹
癸酉，鄱阳哀王休业卒	癸酉，刘宋鄱阳哀王刘休业去世
太傅义恭以南兖州刺史西阳王子尚有宠，将避之，乃辞扬州	太傅刘义恭因为感到南兖州刺史、西阳王刘子尚很受孝武帝的宠爱，所以他打算回避，于是，就辞去扬州刺史的官职
秋，七月，解义恭扬州；丙子，以子尚为扬州刺史	秋季，七月，孝武帝批准解除了刘义恭扬州刺史的职务
时荧惑守南斗，上废西州旧馆，使子尚移治东城以厌之	丙子，任命刘子尚为扬州刺史
扬州别驾从事沈怀文曰：天道示变，宜应之以德	此时，正值火星紧挨在南半星的旁边，孝武帝下令废除西州的旧日官府，命令刘子尚把官府移到东府城，以此镇压这一凶兆
今虽空西州，恐无益也	扬州别驾从事沈怀文说：上天星辰日月在显示变化，我们应该以推广德政来对此作出反应，现在，即使是把西州空出来恐怕也不会有什么好处
