初命晋大夫魏斯、赵籍、韩虔为诸侯	周威烈王姬午初次分封晋国大夫魏斯、赵籍、韩虔为诸侯国君
秦国派司马错攻击魏国河内，魏国献出安邑求和，秦国将城内人民驱赶回魏国	秦败韩师于夏山
秦王与楚王在宛相会，与赵王在中阳相会	秦蒙武击齐，拔九城
秦国攻打赵国，夺取两座城	秦伐赵，拔石城
三十四年	
秦国又攻打赵国，夺取石城	秦穰侯复为丞相
秦国武安君平定巫、黔中，秦国在此设置黔中郡	魏昭王薨，子安王立
魏国魏昭王去世，其子即位为魏安王	秦武安君伐魏，拔两城
三十九年	
秦国武安君进攻魏国，攻占两城	楚王收东地兵，得十余万，复西取江南十五邑
楚王召集东部军队，得到十余万人，又向西攻取长江以南十五邑	魏安王封其弟无忌为信陵君
楚国派左徒黄歇侍奉在秦国做人质的太子芈完	秦置南阳郡
秦国设置南阳郡	秦、魏、楚共伐燕
秦国、魏国、楚国共同进攻燕国	燕惠王薨，子武成王立
燕国燕惠王去世，其子即位为燕武成王	赵蔺相如伐齐，至平邑
四十四年	
秦中更胡伤攻赵阏与，不拔	秦国任中更之职的胡伤率军进攻赵国阏与，未能攻克
	四十七年
秦王用范睢之谋，使五大夫绾伐魏，拔怀	秦王听从范睢的计策，派五大夫绾攻打魏国，攻克怀地
	四十八年
秦悼太子质于魏而卒	秦国太子悼到魏国做人质，死在那里
	四十九年
赵惠文王薨，子孝成王丹立；以平原君为相	赵国赵惠文王去世，其子赵丹即位为赵孝成王；任用赵胜为国相
	五十年
秦宣太后薨	秦国宣太后去世
九月，穰侯出之陶	九月，魏冉离开咸阳回到陶邑
秦国武安君白起进攻韩国，攻克九座城，杀死五万人	田单为赵相
田单任赵国国相	秦武安君伐韩，取南阳；攻太行道，绝之
五十二年	
昭襄王在雍城南郊祭祀上帝	楚迁于钜阳
庄襄王封相国吕不韦为文信侯，将河南洛阳十万户作他的封地	蒙骜伐韩，取成皋、荥阳，初置三川郡
秦将蒙骜攻打韩国，夺取了成皋、荥阳，始设置三川郡	楚灭鲁，迁鲁顷公于，为家人
楚国灭亡了鲁国，把鲁顷公迁移到，贬为平民	日有食之
二年	
出现日食	蒙骜伐赵，取榆次、狼孟等三十七城
秦国属地晋阳反叛	蒙骜击定之
始皇帝	
秦国发生大饥荒	蒙骜伐韩，取十二城
魏国国君安王去世，子魏增继位，是为景王	蒙骜伐魏，取酸枣、燕、虚、长平、雍丘、山阳等三十城；初置东郡
五年	
秦军进攻魏国，夺取了汲	夏太后薨
秦国夏太后去世	蒙骜卒
秦将蒙骜去世	魏与赵邺
八年	
魏国将邺割让给赵国	韩桓惠王薨，子安立
韩国国君桓惠王去世，子韩安继位	伐魏，取垣、蒲
九年	
秦军征伐魏国，攻克垣、蒲两城	夏，四月，寒，民有冻死者
夏季，四月，天气骤然酷寒，秦国百姓有被冻死的	王宿雍
秦王嬴政住宿在雍城	己酉，王冠，带剑
己酉，秦王嬴政举行成年加冠礼，同时佩带宝剑	杨端和伐魏，取衍氏
嬴政因吕不韦事奉先王功劳卓著，不忍心将他杀死	冬，十月，文信侯免相，出就国
十年	
赵国人进攻燕国，夺取阳	赵悼襄王薨，子幽缪王迁立
战事还未结束，秦国的大将王翦、桓、杨端和已率军征伐赵国，攻击邺地，战领了九个城邑	其母，倡也，嬖于悼襄王，悼襄王废嫡子嘉而立之
其中王翦领兵攻打阏与、阳，桓率军夺取了邺、安阳	迁素以无行闻于国
秦国自六月到八月，一直不降雨	发四郡兵助魏伐楚
魏国人割献土地给秦国	代地震，自乐徐以西，北至平阴，台屋墙垣太半坏，地坼东西百三十步
代地发生地震，自乐徐以西，北到平阴，楼台房屋墙垣大半塌毁，土地开裂一条臣缝，东西宽一百三十步	内史胜灭韩，虏韩王安，以其地置颍川郡
十七年	
秦王政的祖母华阳太后去世	赵大饥
赵国发生大饥荒	卫元君薨，子角立
秦将王翦、蒙武俘获了楚国国君芈负刍，在楚地设置楚郡	大兴兵，使王贲攻辽东，虏燕王喜
二十五年	
秦国大举兴兵，派王贲率兵进攻辽东，俘获了燕国国君姬喜	王贲攻代，虏代王嘉
秦将王贲率军攻代，俘获代王赵嘉	王翦悉定荆江南地，降百越之君，置会稽郡
秦将王翦全部平定楚国长江以南的地区，降服百越的首领，设置了会稽郡	五月，天下大
早先，韩国人张良的父亲、祖父曾经做过五代韩相	始皇东游，至阳武博浪沙中，张良令力士操铁椎狙击始皇，误中副车
乃至韩国灭亡，张良尽散千金家产，想要为韩国报仇	始皇惊，求，弗得；令天下大索十日
二十九年	
秦朝廷将徇私枉法、知人有罪却释放出狱、无罪却下狱的司法官吏处罚流放去修筑长城，或到南越地区守边	使蒙恬除直道，道九原，抵云阳，堑山堙谷千八百里；数年不就
冬季，十月，戊寅，实行大赦	春，二世东行郡县，李斯从；到碣石，并海，南至会稽；而尽刻始皇所立刻石，旁著大臣从者名，以章先帝成功盛德而还
陈人秦嘉、符离人朱鸡石等聚众起兵，将东海郡守围困在郯地	二世益遣长史司马欣、董翳佐章邯击盗
陈胜闻讯，即派名叫畔的武平君任将军，督率围郯城的各路军队	章邯已破伍逢，击陈柱国房君，杀之；又进击陈西张贺军
秦嘉不接受此命令，自立为大司马，并由于厌恶隶属于武平君而告诉他的军吏说：武平君年少，不懂用兵之事，不要听他的	陈王出监战
随即假传陈胜的命令，杀了武平君畔	张贺死
东阳人宁君和秦嘉闻听陈胜兵败，便拥立景驹为楚王，领兵前往方与，打算在定陶攻击秦军，即遣公孙庆出使齐国，想要与齐合力共同进军攻秦	楚王景驹在留，沛公往从之
齐王说：陈胜战败，至今生死不明，楚国怎么能不请示齐国便自行立王呀	张良亦聚少年百余人欲往从景驹，道遇沛公，遂属焉；沛公拜良为厩将
公孙庆道：齐国不请示楚国即立王，楚国为什么要请示齐国后才立王呢	良数以太公兵法说沛公；沛公善之，常用其策；良为他人言，皆不省
况且楚国首先起事，理当号令天下	良曰：沛公殆天授
齐王田儋于是就将公孙庆杀了	故遂留不去
魏豹率军攻克了故魏国的二十多个城市，楚怀王即封立魏豹为魏王	后九月，楚怀王并吕臣、项羽军，自将之；以沛公为砀郡长，封武安侯，将砀郡兵；封项羽为长安侯，号为鲁公；吕臣为司徒，其父吕青为令尹
十二月，刘邦率军到达栗县时，遇上刚武侯，夺过他手中的部队四千多人，与自己的队伍合并起来，同魏将皇欣、武满的军队联合攻打秦军，击败了对手	故齐王建孙安下济北，从项羽救赵
燕王韩广不肯到辽东去作辽东王，臧荼就击杀了他，兼并了他的领地	是岁，以内史沛周苛为御史大夫
这一年，汉王任用内史、沛人周苛为御史大夫	项王使趣义帝行，其群臣、左右稍稍叛之
项羽派人催促义帝快到郴地去，义帝的群臣、近侍便逐渐背叛了义帝	冬，十月，项王密使九江、衡山、临江王击义帝，杀之江中
二年	
汉王到陕县去，安抚关外的父老	河南王申阳降，置河南郡
汉王返回都城栎阳	诸将拔陇西
六月，汉王返回栎阳	壬午，立子盈为太子；赦罪人
汉军引水灌淹废丘，废丘城守军投降，章邯自杀	关中大饥，米斛万钱，人相食
汉军于是完全平定了雍地，设置了中地、北地、陇西等郡	令民就食蜀、汉
关中发生大饥荒，一斛米卖到万钱，人们饿得自相残食	秋，八月，汉王如荥阳，命萧何守关中侍太子，为法令约束，立宗庙、社稷、宫室、县邑；事有不及奏决者，辄以便宜施行，上来，以闻
汉王便让关中的百姓到蜀、汉去谋生	计关中户口，转漕、调兵以给军，未尝乏绝
秋季，八月，汉王前往荥阳，命萧何留守关中服侍太子	汉王使郦食其往说魏王豹，且召之
萧何着手制订法令规章，建立宗庙、社稷、宫室、县邑机构，遇事如来不及奏报汉王裁决，就酌情灵活处理，待汉王回来时再作汇报	豹不听，曰：汉王慢而侮人，骂詈诸侯、群臣如骂奴耳，吾不忍复见也
他在关中还管理人口户籍，运输粮草，调拨士兵补给汉军兵员，从来没有缺乏、断绝过	于是汉王以韩信为左丞相，与灌婴、曹参俱击魏
甲戌晦，发生日食	十一月，癸卯晦，日有食之
秋季，七月，有异星出现于大角星旁	临江王敖薨，子尉嗣
汉王得到韩信的军队后，重又士气大振	彭越攻徇梁地，下睢阳、外黄等十七城
八月，领兵来到黄河岸边，向南驻扎在小修武，想要与楚军再战	九月，项王谓大司马曹咎曰：谨守成皋
郎中郑忠劝阻汉王，让他高筑营垒、深挖壕沟，不要与楚军交锋	即汉王欲挑战，慎勿与战，勿令得东而已
汉王听从了他的计策，派将军刘贾、卢绾率步兵两万人、骑兵几百人，渡过白马津，进入楚地，协助彭越，烧毁楚国积聚的粮草辎重，以破坏楚国的后备基础，使它无法再给前方项羽的军队供给粮草	我十五日必定梁地，复从将军
楚军进攻刘贾，刘贾总是坚守营垒不肯与楚军接战，而与彭越相互呼应救援	羽引兵东行，击陈留、外黄、睢阳等城，皆下之
冬季，十月，韩信打败了齐国的历下守军，随后直打到齐国的都城临淄	楚大司马咎守成皋，汉数挑战，楚军不出
齐王田广认为郦食其出卖了自己，就煮杀了他	使人辱之，数日，咎怒，渡兵汜水
然后领兵向东逃往高密，派使者到楚国去请求救援	士卒半渡，汉击之，大破楚军，尽得楚国金玉、货赂，咎及司马欣皆自刭汜水上
田横这时逃奔博阳，守相田光逃奔城阳，将军田既驻扎在胶东	汉王引兵渡河，复取成皋，军广武，就敖仓食
秋季，七月，汉王立黥布为淮南王	八月，北貉燕人来致枭骑助汉
汉王下令：凡军士在战争中不幸死亡的，官吏要为他们用衣被棺木殓尸，并转送回死者家中	是岁，以中尉周昌为御史大夫
此令一施行，四面八方的人都心甘情愿地来归附汉王了	昌，苛从弟也
汉王回军到达定陶县，奔入齐王韩信的营垒，接管了他的部队	临江王共尉不降，遣卢绾、刘贾击虏之
高帝刘邦向西建都洛阳	夏，五月，兵皆罢归家
六月，壬辰，高帝大赦天下	秋，七月，燕王臧荼反；上自将征之
秋季，七月，燕王臧荼反叛，高帝亲自率军征讨臧荼	赵景王耳、长沙文王芮皆薨
项羽过去的将领利几反叛，高帝又亲自带兵击败了他	后九月，治长乐宫
高帝由于天下刚刚平定，自己的儿子年幼，兄弟又少，便以秦王朝孤立而导致灭亡的教训为鉴戒，想要大肆分封同姓族人，借此镇抚天下	上以韩王信材武，所王北近巩、洛，南迫宛、叶，东有淮阳，皆天下劲兵处；乃以太原郡三十一县为韩国，徙韩王信王太原以北，备御胡，都晋阳
春季，正月，丙午，高帝把楚王韩信的封地分为两个王国，将淮河以东五十三个县封给堂兄将军刘贾做荆王，将薛郡、东海、彭城等地三十六个县封给弟弟文信君刘交为楚王	信上书曰：国被边，匈奴数入寇；晋阳去塞远，请治马邑
壬子，把云中、雁门、代郡等地五十三个县封给哥哥宜信侯刘喜做代王，把胶东、胶西、临淄、济北、博阳、城阳郡等地七十三个县封给自己平民时与同居的妇人所生的儿子刘肥当齐王，百姓中能讲齐国话的人都分给了齐国	上许之
高帝已经封赏了大功臣二十多人，其余的人日夜争功，一时决定不下来，便没能给予封赏	列侯毕已受封，诏定元功十八人位次
高帝在洛阳南宫，从天桥上望见将领们往往三人一群两人一伙地同坐在沙地中谈论着什么	皆曰：平阳侯曹参，身被七十创，攻城略地，功最多，宜第一
高帝说：这是在说些什么呀	谒者、关内侯鄂千秋进曰：群臣议皆误，夫曹参虽有野战略地之功，此特一时之事耳
留侯张良道：陛下不知道吗	上与楚相距五岁，失军亡众，跳身遁者数矣；然萧何常从关中遣军补其处，非上所诏令召，而数万众会上之乏绝者数矣
这是在图谋造反啊	又军无见粮，萧何转漕关中，给食不乏
高帝说：天下新近刚刚安定下来，为了什么缘故又要谋反呢	陛下虽数亡山东，萧何常全关中以待陛下
留侯说：陛下由平民百姓起家，依靠这班人夺取了天下	此万世之功也
如今陛下做了天子，所封赏的都是自己亲近喜爱的老友，所诛杀的都是自己生平仇视怨恨的人	今虽无曹参等百数，何缺于汉；汉得之，不必待以全
现在军吏们计算功劳，认为即使把天下的土地都划作封国也不够全部封赏的了，于是这帮人就害怕陛下对他们不能全部封赏，又恐怕因往常的过失而被猜疑以至于遭到诛杀，所以就相互聚集到一起图谋造反了	柰何欲以一旦之功而加万世之功哉
高帝于是担忧地说：这该怎么办呀	萧何第一，曹参次之
留侯道：皇上平素最憎恶、且群臣又都知道的人，是谁啊	上曰：善
高帝说：雍齿与我有旧怨，他曾经多次困辱我	于是乃赐萧何带剑履上殿，入朝不趋
我想杀掉他，但由于他功劳很多，所以不忍心下手	上曰：吾闻进贤受上赏
留侯说：那么现在就赶快先封赏雍齿，这样一来，群臣也就人人都对自己的能受封赏坚信不疑了	萧何功虽高，得鄂君乃益明
